DATA, NUM_MACHINES, NUM_INDEX, BEST_SEQUENCE, TIME, BEST_OUTPUT

car1,5,11,"[7, 0, 4, 8, 2, 10, 6, 1, 3, 9, 5]",5.154669284820557,7038
car1,5,11,"[7, 0, 4, 10, 3, 6, 2, 1, 8, 9, 5]",66.65297365188599,7038
car1,5,11,"[7, 0, 2, 4, 8, 10, 3, 1, 6, 9, 5]",7.366723299026489,7038
car1,5,11,"[7, 4, 2, 10, 8, 5, 0, 6, 1, 3, 9]",7.138631105422974,7038
